date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
11/9/2020,230487,577,26087,11638,2261,59394,487746,129129215,1222538,2907,3110,9996264,119434,3926618,56,160315545,1526713
11/8/2020,229910,496,25819,11223,1467,56942,485485,127906677,921930,2900,2977,9876830,110306,3879255,56,158788832,1266926
11/7/2020,229414,1119,25721,11215,2297,56037,484018,126984747,984190,2898,2947,9766524,129266,3849345,56,157521906,1438200
11/6/2020,228295,1173,25498,11213,3143,54949,481721,126000557,1134534,2885,2850,9637258,125798,3808730,56,156083706,1593285
11/5/2020,227122,1146,25276,11046,2541,53465,478578,124866023,1183658,2872,2877,9511460,116479,3779523,56,154490421,1596467
11/4/2020,225976,1117,25041,10892,3114,52166,476037,123682365,869801,2853,2832,9394981,103363,3741442,56,152893954,1257102
11/3/2020,224859,1514,24796,10530,3115,50512,472923,122812564,840052,2833,2733,9291618,86715,3702925,56,151636852,1159145
11/2/2020,223345,491,24560,9970,1446,48773,469808,121972512,1070761,2809,2637,9204903,82042,3672742,56,150477707,1336795
11/1/2020,222854,395,24457,9665,1166,47615,468362,120901751,814184,2797,2553,9122861,73872,3631622,56,149140912,1135555
10/31/2020,222459,963,24375,9613,2082,47486,467196,120087567,1044004,2786,2502,9048989,90613,3610296,56,148005357,1422244
10/30/2020,221496,947,24230,9549,2401,46856,465114,119043563,975456,2776,2477,8958376,97263,3576201,56,146583113,1388573
10/29/2020,220549,1037,24082,9320,2334,46220,462713,118068107,1009397,2760,2403,8861113,88728,3552166,56,145194540,1354648
10/28/2020,219512,1044,23883,9134,2464,45205,460379,117058710,802924,2744,2347,8772385,78793,3515953,56,143839892,1128640
10/27/2020,218468,919,23701,8997,2253,44392,457915,116255786,807350,2719,2287,8693592,72097,3485474,56,142711252,1097470
10/26/2020,217549,402,23542,8942,1754,43005,455662,115448436,983843,2703,2301,8621495,62535,3458204,56,141613782,1215005
10/25/2020,217147,382,23420,8590,1076,41883,453908,114464593,900533,2693,2176,8558960,64897,3420713,56,140398777,1197113
10/24/2020,216765,890,23356,8675,1793,42087,452832,113564060,961392,2691,2230,8494063,83319,3404503,56,139201664,1341535
10/23/2020,215875,934,23221,8340,15071,41617,451039,112602668,1042591,2679,2180,8410744,82342,3373284,56,137860129,1404686
